name,birthday,nationality
Robert Downey Jr.,1965-04-04,US
Dwayne Johnson,1972-05-02,US
Will Smith,1968-09-25,US
Tom Cruise,1962-07-03,US
Brad Pitt,1963-12-18,US
Johnny Depp,1963-06-09,US
Scarlett Johansson,1984-11-22,US
Hugh Jackman,1968-10-12,AU
Ryan Reynolds,1976-10-23,CA
Christian Bale,1974-01-30,GB
Chris Hemsworth,1983-08-11,AU
Margot Robbie,1990-07-02,AU
Anne Hathaway,1982-11-12,US
Chris Evans,1981-06-13,US
Emma Stone,1988-11-06,US
Jennifer Lawrence,1990-08-15,US
Matt Damon,1970-10-08,US
Gal Gadot,1985-04-30,IS
Benedict Cumberbatch,1976-07-19,GB
